RC,YR,POP,USUR,USAL,UGW,UREC,URES,UIND,UTOT,UPOP,ASUR,ASAL,AGW,AREC,ATOT,ISUR,ISAL,IGW,IREC,ITOT,PSUR,PSAL,PGW,PREC,PTOT,SUR,SAL,GW,REC,ALL,PGEN,SC,SN,CC,CN
1,2010,20972.319,1889.18,0,1707.78,225.75,3739.57,106.28,3822.71,19792.75,634.92,0,522.72,52.77,1210.41,7.58,0.03,306.44,32.44,346.49,4.47,3997.44,17.53,0,4019.44,2536.15,3997.47,2554.47,310.96,9399.05,32542.88,6,Califor,37,Los Angeles Count
1,2010,20972.319,1889.18,0,1707.78,225.75,3739.57,106.28,3822.71,19792.75,634.92,0,522.72,52.77,1210.41,7.58,0.03,306.44,32.44,346.49,4.47,3997.44,17.53,0,4019.44,2536.15,3997.47,2554.47,310.96,9399.05,32542.88,6,Califor,59,Orange County
1,2010,20972.319,1889.18,0,1707.78,225.75,3739.57,106.28,3822.71,19792.75,634.92,0,522.72,52.77,1210.41,7.58,0.03,306.44,32.44,346.49,4.47,3997.44,17.53,0,4019.44,2536.15,3997.47,2554.47,310.96,9399.05,32542.88,6,Califor,65,Riverside County
1,2010,20972.319,1889.18,0,1707.78,225.75,3739.57,106.28,3822.71,19792.75,634.92,0,522.72,52.77,1210.41,7.58,0.03,306.44,32.44,346.49,4.47,3997.44,17.53,0,4019.44,2536.15,3997.47,2554.47,310.96,9399.05,32542.88,6,Califor,71,San Bernardino Co
1,2010,20972.319,1889.18,0,1707.78,225.75,3739.57,106.28,3822.71,19792.75,634.92,0,522.72,52.77,1210.41,7.58,0.03,306.44,32.44,346.49,4.47,3997.44,17.53,0,4019.44,2536.15,3997.47,2554.47,310.96,9399.05,32542.88,6,Califor,73,San Diego County
1,2010,20972.319,1889.18,0,1707.78,225.75,3739.57,106.28,3822.71,19792.75,634.92,0,522.72,52.77,1210.41,7.58,0.03,306.44,32.44,346.49,4.47,3997.44,17.53,0,4019.44,2536.15,3997.47,2554.47,310.96,9399.05,32542.88,6,Califor,111,Ventura County
2,2010,174.528,30.57,0,2.23,0,32.22,1.75,32.8,156.35,1079.82,0,16.46,0,1096.28,0,0,7.38,0,7.38,22.5,0,0,0,22.5,1132.89,0,26.07,0,1158.96,3810.89,6,Califor,25,Imperial County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,1,Alameda County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,3,Alpine County
3,2010,16107.109,1581.93,0,1258.95,130.04,2882.72,149.85,2970.92,14828.82,13561.27,0,8231.21,55.94,21848.42,5.8,0.02,345.57,50.1,401.49,5.25,2489.85,64.06,0,2559.16,15154.25,2489.87,9899.79,236.08,27779.99,49077.82,6,Califor,5,Amador County
